What is your current CGPA?,PerformanceLevel,attendance_pct,How many hour do you study daily?,How many hour do you spent daily in social media?,What was your previous SGPA?,merit_scholar,uses_univ_transport,uses_smartphone,has_computer,attends_consultancy,How many hour do you spent daily on your skill development?
0.0,Poor,88.0,5,3,0.0,1,0,1,0,0,2
0.0,Poor,100.0,1,1,0.0,1,1,1,1,0,2
0.0,Poor,98.0,4,3,0.0,1,0,1,1,1,2
2.84,Average,90.0,3,3,2.79,0,0,1,1,1,2
3.65,Good,95.0,5,2,3.52,1,0,1,1,1,1
3.79,Good,90.0,1,2,3.85,1,1,1,1,1,1
2.89,Average,70.0,4,5,3.01,1,0,1,1,0,2
3.18,Good,90.0,3,2,3.18,1,0,1,1,1,3
3.89,Good,100.0,5,5,3.72,1,1,1,1,1,3
2.9,Average,70.0,3,10,2.8,1,1,1,0,1,3
3.56,Good,90.0,2,3,3.42,1,0,1,1,1,1
3.03,Good,85.0,3,3,2.49,1,0,1,1,0,2
3.15,Good,95.0,2,3,2.68,0,1,1,1,1,1
3.67,Good,90.0,3,2,3.86,1,1,1,1,1,1
0.0,Poor,100.0,3,1,0.0,1,1,1,1,1,1
3.7,Good,90.0,6,2,3.82,1,1,1,1,0,3
3.1,Good,75.0,2,2,3.58,1,0,1,1,1,1
2.8,Average,98.0,5,2,2.57,0,0,1,1,1,2
3.92,Good,95.0,5,2,3.86,1,0,1,1,1,3
4.0,Good,80.0,3,3,4.0,0,0,1,1,1,1
0.0,Poor,80.0,1,7,0.0,1,1,1,1,0,0
3.4,Good,90.0,1,2,3.1,0,0,1,1,0,1
0.0,Poor,100.0,6,4,0.0,0,0,1,1,1,3
3.65,Good,95.0,1,1,3.68,1,0,1,1,1,2
3.4,Good,2.0,7,3,3.4,1,1,1,1,1,0
0.0,Poor,100.0,8,2,0.0,1,0,1,1,1,1
2.95,Average,70.0,3,2,2.45,1,1,1,1,1,3
2.89,Average,80.0,2,3,2.4,0,1,1,1,1,1
3.2,Good,99.0,4,1,3.47,1,1,1,1,1,3
3.05,Good,87.0,2,1,2.53,0,1,1,1,0,1
2.72,Average,50.0,1,3,2.56,1,1,1,0,1,1
0.0,Poor,100.0,4,3,0.0,0,0,1,1,0,1
2.56,Average,80.0,2,1,2.36,0,0,1,1,0,1
0.0,Poor,100.0,2,1,0.0,0,0,0,1,1,1
0.0,Poor,100.0,1,2,0.0,1,1,1,1,0,0
3.15,Good,100.0,4,2,2.68,1,1,1,1,1,2
2.73,Average,90.0,2,1,3.19,1,1,1,1,1,1
2.13,Average,88.0,2,1,2.11,0,0,1,1,1,1
3.07,Good,98.0,6,2,3.1,0,1,1,1,0,2
3.0,Average,95.0,4,5,3.28,1,0,1,1,0,2
3.15,Good,100.0,1,2,3.15,1,1,1,1,0,0
3.6,Good,90.0,5,3,3.6,1,0,1,1,1,1
3.7,Good,90.0,3,1,3.75,1,0,1,1,1,2
3.92,Good,90.0,1,3,3.85,0,0,1,1,0,2
2.68,Average,90.0,3,2,2.68,1,1,1,1,0,2
3.18,Good,99.0,3,1,3.18,1,0,1,1,1,3
3.4,Good,90.0,2,1,3.39,1,0,1,1,1,2
